setting,age,life_expectancy
SLE,0,55.92
SLE,1,59.12
SLE,5,56.79
SLE,10,52.65
SLE,15,48.25
SLE,20,44.15
SLE,25,40.32
SLE,30,36.50
SLE,35,32.68
SLE,40,28.90
SLE,45,25.17
SLE,50,21.53
SLE,55,18.07
SLE,60,14.81
SLE,65,11.84
SLE,70,9.21
SLE,75,7.00
SLE,80,5.23
SLE,85,3.88
SLE,90,2.92
SLE,95,2.20
SLE,100,1.74
PNG,0,65.22
PNG,1,66.70
PNG,5,63.36
PNG,10,58.67
PNG,15,53.90
PNG,20,49.28
PNG,25,44.75
PNG,30,40.22
PNG,35,35.71
PNG,40,31.27
PNG,45,26.93
PNG,50,22.74
PNG,55,18.74
PNG,60,14.97
PNG,65,11.61
PNG,70,8.79
PNG,75,6.52
PNG,80,4.73
PNG,85,3.40
PNG,90,2.49
PNG,95,1.86
PNG,100,1.46
