age,country,population,population_thousands
0,SLE,117708,   118
1,SLE,120509,   121
2,SLE,117708,   118
3,SLE,115252,   115
4,SLE,113093,   113
5,SLE,111185,   111
6,SLE,109480,   109
7,SLE,107930,   108
8,SLE,106489,   106
9,SLE,105108,   105
10,SLE,103741,   104
11,SLE,102421,   102
12,SLE,101183,   101
13,SLE,99572,   100
14,SLE,97379,   97
15,SLE,94800,   95
16,SLE,92255,   92
17,SLE,89674,   90
18,SLE,87117,   87
19,SLE,84657,   85
20,SLE,82266,   82
21,SLE,79833,   80
22,SLE,77369,   77
23,SLE,75013,   75
24,SLE,72821,   73
25,SLE,70743,   71
26,SLE,68677,   69
27,SLE,66649,   67
28,SLE,64612,   65
29,SLE,62533,   63
30,SLE,60441,   60
31,SLE,58391,   58
32,SLE,56367,   56
33,SLE,54405,   54
34,SLE,52531,   53
35,SLE,50718,   51
36,SLE,48935,   49
37,SLE,47203,   47
38,SLE,45438,   45
39,SLE,43599,   44
40,SLE,41735,   42
41,SLE,39925,   40
42,SLE,38145,   38
43,SLE,36492,   36
44,SLE,35020,   35
45,SLE,33680,   34
46,SLE,32368,   32
47,SLE,31104,   31
48,SLE,29864,   30
49,SLE,28623,   29
50,SLE,27397,   27
51,SLE,26220,   26
52,SLE,25083,   25
53,SLE,23990,   24
54,SLE,22945,   23
55,SLE,21941,   22
56,SLE,20967,   21
57,SLE,20026,   20
58,SLE,19096,   19
59,SLE,18162,   18
60,SLE,17237,   17
61,SLE,16342,   16
62,SLE,15470,   15
63,SLE,14638,   15
64,SLE,13856,   14
65,SLE,13113,   13
66,SLE,12387,   12
67,SLE,11680,   12
68,SLE,10994,   11
69,SLE,10327,   10
70,SLE,9677,   10
71,SLE,9046,   9
72,SLE,8437,   8
73,SLE,7820,   8
74,SLE,7183,   7
75,SLE,6538,   7
76,SLE,5918,   6
77,SLE,5321,   5
78,SLE,4740,   5
79,SLE,4176,   4
80,SLE,3637,   4
81,SLE,3123,   3
82,SLE,2633,   3
83,SLE,2196,   2
84,SLE,1826,   2
85,SLE,1513,   2
86,SLE,1225,   1
87,SLE,965,   1
88,SLE,748,   1
89,SLE,575,   1
90,SLE,439,   0
91,SLE,313,   0
92,SLE,231,   0
93,SLE,185,   0
94,SLE,133,   0
95,SLE,76,   0
96,SLE,44,   0
97,SLE,36,   0
98,SLE,28,   0
99,SLE,19,   0
100,SLE,9,   0
,,,
